,index,rtime,secs,time_x,event,MW,mw_label,time_y,frame,uuid,participant_id,test_fold_num
26,26,1622965497.4,1086822.0,1622965497.435648,probe,y,NonMW,1622965497.374685,49707,p00049707,p0,3
27,27,1622965537.1,1126388.0,1622965537.128178,probe,y,NonMW,1622965537.05472,50897,p00050897,p0,3
28,28,1622965577.2,1166689.0,1622965577.22395,probe,y,NonMW,1622965577.151506,52100,p00052100,p0,3
29,29,1622965617.2,1206550.0,1622965617.232092,probe,y,NonMW,1622965617.150136,53300,p00053300,p0,3
30,30,1622965657.2,1246568.0,1622965657.230076,probe,y,NonMW,1622965657.15312,54500,p00054500,p0,3
31,31,1622965697.0,1286356.0,1622965697.033272,probe,y,NonMW,1622965696.989297,55695,p00055695,p0,3
32,32,1622965737.4,1326780.0,1622965737.352862,probe,y,NonMW,1622965737.357864,56906,p00056906,p0,3
33,33,1622965777.3,1366563.0,1622965777.265663,probe,y,NonMW,1622965777.278657,58104,p00058104,p0,3
34,34,1622965817.2,1406601.0,1622965817.188469,probe,y,NonMW,1622965817.181473,59301,p00059301,p0,3
35,35,1622965856.4,1445718.0,1622965856.431574,probe,y,NonMW,1622965856.3806,60477,p00060477,p0,3
36,36,1622965896.5,1485931.0,1622965896.517551,probe,y,NonMW,1622965896.461586,61679,p00061679,p0,3
37,37,1622965937.5,1526768.0,1622965937.478542,probe,y,NonMW,1622965937.453538,62909,p00062909,p0,3
38,38,1622965977.1,1566468.0,1622965977.073386,probe,y,NonMW,1622965977.052397,64097,p00064097,p0,3
39,39,1622966017.6,1606926.0,1622966017.580654,probe,y,NonMW,1622966017.550672,65312,p00065312,p0,3
40,40,1622966057.4,1646761.0,1622966057.392896,probe,y,NonMW,1622966057.35592,66506,p00066506,p0,3
41,41,1622966097.3,1686625.0,1622966097.273181,probe,y,NonMW,1622966097.259187,67703,p00067703,p0,3
42,42,1622966137.0,1726334.0,1622966137.017731,probe,n,MW,1622966136.955767,68894,p00068894,p0,3
43,43,1622966177.6,1767060.0,1622966177.576585,probe,n,MW,1622966177.597583,70113,p00070113,p0,3
44,44,1622966217.3,1806689.0,1622966217.337931,probe,y,NonMW,1622966217.258972,71303,p00071303,p0,3
45,45,1622966258.4,1847834.0,1622966258.440204,probe,n,MW,1622966258.363103,72536,p00072536,p0,3
46,46,1622966297.5,1886924.0,1622966297.466573,probe,y,NonMW,1622966297.451583,73709,p00073709,p0,3
47,47,1622966337.5,1926801.0,1622966337.549091,probe,y,NonMW,1622966337.450147,74909,p00074909,p0,3
48,48,1622966377.4,1966700.0,1622966377.437705,probe,y,NonMW,1622966377.354739,76106,p00076106,p0,3
49,49,1622966417.4,2006686.0,1622966417.428109,probe,y,NonMW,1622966417.354151,77306,p00077306,p0,3
50,50,1622966457.4,2046832.0,1622966457.386641,probe,y,NonMW,1622966457.35466,78506,p00078506,p0,3
51,51,1622966497.0,2086217.0,1622966496.965925,probe,y,NonMW,1622966496.954931,79694,p00079694,p0,3
52,52,1622966537.5,2126753.0,1622966537.476763,probe,y,NonMW,1622966537.466772,80909,p00080909,p0,3
53,53,1622966577.3,2166798.0,1622966577.328164,probe,n,MW,1622966577.259205,82103,p00082103,p0,3
54,54,1622966617.5,2206957.0,1622966617.494423,probe,n,MW,1622966617.466435,83309,p00083309,p0,3
55,55,1622966657.3,2246646.0,1622966657.276752,probe,y,NonMW,1622966657.25776,84503,p00084503,p0,3
56,56,1622966697.3,2286629.0,1622966697.261203,probe,y,NonMW,1622966697.257207,85703,p00085703,p0,3
57,57,1622966737.7,2326921.0,1622966737.665748,probe,y,NonMW,1622966737.657752,86915,p00086915,p0,3
58,58,1622966777.5,2366817.0,1622966777.508986,probe,y,NonMW,1622966777.464503,88109,p00088109,p0,3
59,59,1622966817.0,2406430.0,1622966817.011455,probe,n,MW,1622966816.968475,89294,p00089294,p0,3
60,60,1622966857.4,2446814.0,1622966857.354072,probe,y,NonMW,1622966857.369068,90506,p00090506,p0,3
61,61,1622966897.0,2486324.0,1622966896.982244,probe,n,MW,1622966896.968248,91694,p00091694,p0,3
62,62,1622966937.4,2526800.0,1622966937.369364,probe,y,NonMW,1622966937.367366,92903,p00092903,p0,3
63,63,1622966977.1,2566368.0,1622966977.135026,probe,y,NonMW,1622966977.063069,94094,p00094094,p0,3
64,64,1622967017.4,2606662.0,1622967017.391609,probe,y,NonMW,1622967017.367628,95303,p00095303,p0,3
65,65,1622967057.3,2646526.0,1622967057.255461,probe,y,NonMW,1622967057.271451,96500,p00096500,p0,3
66,66,1622967097.7,2686968.0,1622967097.713814,probe,y,NonMW,1622967097.670842,97712,p00097712,p0,3
67,67,1622967137.2,2726648.0,1622967137.160603,probe,y,NonMW,1622967137.1586,98897,p00098897,p0,3
68,68,1622967177.5,2767001.0,1622967177.511801,probe,n,MW,1622967177.462822,100106,p00100106,p0,3
69,69,1622967216.9,2806366.0,1622967216.898513,probe,y,NonMW,1622967216.870533,101288,p00101288,p0,3
70,70,1622967257.6,2847054.0,1622967257.591805,probe,n,MW,1622967257.559818,102509,p00102509,p0,3
71,71,1622967296.3,2885753.0,1622967296.269973,probe,n,MW,1622967296.262978,103670,p00103670,p0,3
72,72,1622967337.0,2926393.0,1622967336.981257,probe,n,MW,1622967336.967267,104891,p00104891,p0,3
73,73,1622967376.8,2966113.0,1622967376.800765,probe,y,NonMW,1622967376.774783,106085,p00106085,p0,3
74,74,1622967417.6,3006990.0,1622967417.63596,probe,n,MW,1622967417.572998,107309,p00107309,p0,3
75,75,1622967457.5,3046934.0,1622967457.461147,probe,y,NonMW,1622967457.462146,108506,p00108506,p0,3
76,76,1622967498.8,3088185.0,1622967498.759316,probe,n,MW,1622967498.773295,109745,p00109745,p0,3
77,77,1622967537.2,3126628.0,1622967537.186509,probe,n,MW,1622967537.172518,110897,p00110897,p0,3
78,78,1622967576.9,3166352.0,1622967576.933544,probe,y,NonMW,1622967576.869573,112088,p00112088,p0,3
79,79,1622967617.1,3206357.0,1622967617.086823,probe,y,NonMW,1622967617.060858,113294,p00113294,p0,3
80,80,1622967657.4,3246619.0,1622967657.368783,probe,y,NonMW,1622967657.363789,114503,p00114503,p0,3
81,81,1622967697.0,3286459.0,1622967697.031281,probe,y,NonMW,1622967696.965326,115691,p00115691,p0,3
82,82,1622967737.2,3326484.0,1622967737.215889,probe,n,MW,1622967737.171917,116897,p00116897,p0,3
83,83,1622967777.0,3366333.0,1622967776.980364,probe,y,NonMW,1622967776.963372,118091,p00118091,p0,3
84,84,1622967817.6,3406957.0,1622967817.649914,probe,y,NonMW,1622967817.571813,119309,p00119309,p0,3
85,85,1622967857.6,3446980.0,1622967857.643981,probe,y,NonMW,1622967857.572024,120509,p00120509,p0,3
86,86,1622967897.1,3486430.0,1622967897.078228,probe,y,NonMW,1622967897.07523,121694,p00121694,p0,3
87,87,1622967937.3,3526492.0,1622967937.270299,probe,n,MW,1622967937.267305,122900,p00122900,p0,3
88,0,1622876753.6,126652.0,1622876753.564213,probe,y,NonMW,1622876753.572137,19767,p01019767,p1,3
89,1,1622876793.7,166814.0,1622876793.736423,probe,y,NonMW,1622876793.683925,20962,p01020962,p1,3
90,2,1622876833.4,206566.0,1622876833.387481,probe,y,NonMW,1622876833.380503,22145,p01022145,p1,3
91,3,1622876913.8,286814.0,1622876913.75041,probe,y,NonMW,1622876913.780339,24541,p01024541,p1,3
92,4,1622876993.5,366724.0,1622876993.515107,probe,y,NonMW,1622876993.459458,26916,p01026916,p1,3
93,5,1622877073.7,446932.0,1622877073.726973,probe,n,MW,1622877073.668041,29306,p01029306,p1,3
94,6,1622877113.6,486827.0,1622877113.563588,probe,y,NonMW,1622877113.555612,30495,p01030495,p1,3
95,7,1622877193.1,566128.0,1622877193.06744,probe,y,NonMW,1622877193.060468,32864,p01032864,p1,3
96,8,1622877233.6,606634.0,1622877233.586521,probe,y,NonMW,1622877233.5566,34071,p01034071,p1,3
97,9,1622877274.4,647568.0,1622877274.42852,probe,n,MW,1622877274.355714,35287,p01035287,p1,3
98,10,1622877313.8,687089.0,1622877313.822248,probe,n,MW,1622877313.796333,36462,p01036462,p1,3
99,11,1622877353.3,726449.0,1622877353.255958,probe,y,NonMW,1622877353.251968,37638,p01037638,p1,3
100,12,1622877393.5,766684.0,1622877393.500597,probe,y,NonMW,1622877393.47605,38837,p01038837,p1,3
101,13,1622877473.5,846725.0,1622877473.548422,probe,y,NonMW,1622877473.475543,41221,p01041221,p1,3
102,14,1622877513.3,886397.0,1622877513.269047,probe,y,NonMW,1622877513.285019,42407,p01042407,p1,3
103,15,1622877633.3,1006401.0,1622877633.284517,probe,y,NonMW,1622877633.268564,45983,p01045983,p1,3
104,16,1622877673.2,1046233.0,1622877673.206423,probe,y,NonMW,1622877673.171517,47172,p01047172,p1,3
105,17,1622877713.9,1087133.0,1622877713.930563,probe,n,MW,1622877713.876144,48385,p01048385,p1,3
106,18,1622877753.6,1126816.0,1622877753.628683,probe,y,NonMW,1622877753.571778,49568,p01049568,p1,3
107,19,1622877873.8,1247097.0,1622877873.81408,probe,y,NonMW,1622877873.763219,53150,p01053150,p1,3
108,20,1622877915.2,1288452.0,1622877915.205825,probe,n,MW,1622877915.171915,54384,p01054384,p1,3
109,21,1622877953.7,1326968.0,1622877953.733207,probe,y,NonMW,1622877953.667603,55531,p01055531,p1,3
110,22,1622877993.3,1366500.0,1622877993.305767,probe,y,NonMW,1622877993.251916,56711,p01056711,p1,3
111,23,1622878033.4,1406585.0,1622878033.359771,probe,y,NonMW,1622878033.380714,57907,p01057907,p1,3
112,24,1622878074.2,1447301.0,1622878074.15545,probe,n,MW,1622878074.164435,59122,p01059122,p1,3
113,25,1622878154.5,1527556.0,1622878154.471533,probe,n,MW,1622878154.451552,61515,p01061515,p1,3
114,26,1622878193.5,1566656.0,1622878193.498885,probe,y,NonMW,1622878193.4749,62678,p01062678,p1,3
115,27,1622878234.2,1607289.0,1622878234.199019,probe,n,MW,1622878234.180026,63891,p01063891,p1,3
116,28,1622878353.5,1726822.0,1622878353.545192,probe,n,MW,1622878353.475632,67446,p01067446,p1,3
117,29,1622878393.4,1766534.0,1622878393.445559,probe,y,NonMW,1622878393.362831,68635,p01068635,p1,3
118,30,1622878433.3,1806433.0,1622878433.266515,probe,y,NonMW,1622878433.267513,69824,p01069824,p1,3
119,31,1622878513.2,1886417.0,1622878513.235862,probe,y,NonMW,1622878513.171347,72205,p01072205,p1,3
120,32,1622878553.2,1926315.0,1622878553.249949,probe,y,NonMW,1622878553.155595,73397,p01073397,p1,3
121,33,1622878714.7,2088030.0,1622878714.74564,probe,n,MW,1622878714.659913,78210,p01078210,p1,3
122,34,1622878833.4,2206494.0,1622878833.411793,probe,y,NonMW,1622878833.37888,81748,p01081748,p1,3
123,35,1622878913.4,2286568.0,1622878913.442621,probe,y,NonMW,1622878913.37853,84132,p01084132,p1,3
124,36,1622878993.7,2366753.0,1622878993.707241,probe,y,NonMW,1622878993.651412,86524,p01086524,p1,3
125,37,1622879033.4,2406430.0,1622879033.373674,probe,y,NonMW,1622879033.379656,87708,p01087708,p1,3
126,38,1622879073.3,2446468.0,1622879073.285377,probe,n,MW,1622879073.266425,88897,p01088897,p1,3
127,39,1622879153.1,2526227.0,1622879153.081455,probe,y,NonMW,1622879153.074476,91275,p01091275,p1,3
128,40,1622879193.2,2566286.0,1622879193.189434,probe,y,NonMW,1622879193.171438,92470,p01092470,p1,3
129,41,1622879233.5,2606662.0,1622879233.512536,probe,n,MW,1622879233.474456,93671,p01093671,p1,3
130,42,1622879272.8,2646014.0,1622879272.810069,probe,y,NonMW,1622879272.755379,94842,p01094842,p1,3
131,43,1622879313.8,2687034.0,1622879313.826422,probe,n,MW,1622879313.762537,96064,p01096064,p1,3
132,44,1622879433.3,2806366.0,1622879433.256139,probe,y,NonMW,1622879433.251152,99625,p01099625,p1,3
133,45,1622879513.1,2886329.0,1622879513.052943,probe,y,NonMW,1622879513.058929,102003,p01102003,p1,3
134,46,1622879633.3,3006432.0,1622879633.295897,probe,y,NonMW,1622879633.250937,105585,p01105585,p1,3
135,47,1622879713.1,3086089.0,1622879713.054958,probe,y,NonMW,1622879713.075776,107964,p01107964,p1,3
136,48,1622879753.0,3126115.0,1622879753.021396,probe,y,NonMW,1622879752.978392,109153,p01109153,p1,3
137,49,1622879793.2,3166353.0,1622879793.163725,probe,y,NonMW,1622879793.170706,110351,p01110351,p1,3
138,50,1622879833.0,3206250.0,1622879833.028314,probe,y,NonMW,1622879832.962494,111537,p01111537,p1,3
139,51,1622879912.8,3285946.0,1622879912.812465,probe,y,NonMW,1622879912.770805,113915,p01113915,p1,3
140,52,1622879953.1,3326260.0,1622879953.091536,probe,y,NonMW,1622879953.058623,115116,p01115116,p1,3
141,53,1622880073.3,3446442.0,1622880073.314946,probe,y,NonMW,1622880073.266452,118698,p01118698,p1,3
142,54,1622880113.3,3486430.0,1622880113.310733,probe,y,NonMW,1622880113.266803,119890,p01119890,p1,3
143,0,1625382609.0,46768.0,1625382609.012181,probe,y,NonMW,1625382608.953811,18084,p10018084,p10,5
144,1,1625382648.7,86496.0,1625382648.70611,probe,y,NonMW,1625382648.665215,19278,p10019278,p10,5
145,2,1625382689.4,127188.0,1625382689.427634,probe,y,NonMW,1625382689.371752,20502,p10020502,p10,5
146,3,1625382728.8,166513.0,1625382728.779893,probe,y,NonMW,1625382728.777899,21687,p10021687,p10,5
147,4,1625382769.0,206565.0,1625382768.968471,probe,y,NonMW,1625382768.953563,22895,p10022895,p10,5
148,5,1625382809.5,247257.0,1625382809.458855,probe,n,MW,1625382809.481792,24114,p10024114,p10,5
149,6,1625382848.7,286331.0,1625382848.659481,probe,y,NonMW,1625382848.666464,25292,p10025292,p10,5
150,7,1625382928.9,366765.0,1625382928.914743,probe,y,NonMW,1625382928.873845,27704,p10027704,p10,5
151,8,1625382969.0,406756.0,1625382968.97258,probe,y,NonMW,1625382968.952639,28909,p10028909,p10,5
152,9,1625383010.1,447768.0,1625383010.08703,probe,n,MW,1625383010.059109,30145,p10030145,p10,5
153,10,1625383049.1,486828.0,1625383049.097511,probe,y,NonMW,1625383049.064631,31318,p10031318,p10,5
154,11,1625383088.7,526384.0,1625383088.690038,probe,y,NonMW,1625383088.665104,32509,p10032509,p10,5
155,12,1625383128.8,566401.0,1625383128.757581,probe,y,NonMW,1625383128.777533,33715,p10033715,p10,5
156,13,1625383169.1,606800.0,1625383169.067454,probe,y,NonMW,1625383169.081417,34927,p10034927,p10,5
157,14,1625383209.4,646964.0,1625383209.370678,probe,n,MW,1625383209.353724,36138,p10036138,p10,5
158,15,1625383248.4,686156.0,1625383248.431055,probe,y,NonMW,1625383248.360734,37311,p10037311,p10,5
159,16,1625383289.0,726700.0,1625383289.012137,probe,y,NonMW,1625383288.968255,38532,p10038532,p10,5
160,17,1625383328.9,766684.0,1625383328.877223,probe,y,NonMW,1625383328.872232,39732,p10039732,p10,5
161,18,1625383369.1,806780.0,1625383369.116162,probe,y,NonMW,1625383369.080272,40941,p10040941,p10,5
162,19,1625383408.9,846533.0,1625383408.912126,probe,y,NonMW,1625383408.856276,42137,p10042137,p10,5
163,20,1625383449.2,886932.0,1625383449.200304,probe,y,NonMW,1625383449.16141,43349,p10043349,p10,5
164,21,1625383489.2,927027.0,1625383489.217793,probe,y,NonMW,1625383489.159984,44552,p10044552,p10,5
165,22,1625383529.5,967358.0,1625383529.51641,probe,y,NonMW,1625383529.463587,45764,p10045764,p10,5
166,23,1625383569.4,1007188.0,1625383569.382476,probe,y,NonMW,1625383569.352543,46963,p10046963,p10,5
167,24,1625383609.6,1047153.0,1625383609.571865,probe,y,NonMW,1625383609.592778,48173,p10048173,p10,5
168,25,1625383649.3,1087057.0,1625383649.275047,probe,y,NonMW,1625383649.256097,49366,p10049366,p10,5
169,26,1625383689.6,1127324.0,1625383689.644299,probe,y,NonMW,1625383689.55954,50578,p10050578,p10,5
170,27,1625383729.9,1167597.0,1625383729.933573,probe,n,MW,1625383729.863719,51790,p10051790,p10,5
171,28,1625383769.1,1206846.0,1625383769.119554,probe,y,NonMW,1625383769.07966,52969,p10052969,p10,5
172,29,1625383809.1,1246820.0,1625383809.146142,probe,y,NonMW,1625383809.079748,54172,p10054172,p10,5
173,30,1625383848.6,1286356.0,1625383848.640179,probe,y,NonMW,1625383848.551418,55359,p10055359,p10,5
174,31,1625383889.4,1327034.0,1625383889.371408,probe,y,NonMW,1625383889.36737,56586,p10056586,p10,5
175,32,1625383929.4,1367132.0,1625383929.449152,probe,y,NonMW,1625383929.368326,57789,p10057789,p10,5
176,33,1625383968.9,1406665.0,1625383968.923007,probe,y,NonMW,1625383968.871162,58977,p10058977,p10,5
177,34,1625384008.6,1446225.0,1625384008.637489,probe,n,MW,1625384008.552239,60170,p10060170,p10,5
178,35,1625384049.0,1486729.0,1625384048.987944,probe,y,NonMW,1625384048.952031,61385,p10061385,p10,5
179,36,1625384089.5,1527297.0,1625384089.547337,probe,y,NonMW,1625384089.463559,62603,p10062603,p10,5
180,37,1625384129.0,1566721.0,1625384129.036233,probe,y,NonMW,1625384128.968457,63791,p10063791,p10,5
181,38,1625384169.0,1606756.0,1625384169.022535,probe,n,MW,1625384168.95168,64993,p10064993,p10,5
182,39,1625384209.1,1646761.0,1625384209.099996,probe,y,NonMW,1625384209.079064,66200,p10066200,p10,5
183,40,1625384249.1,1686882.0,1625384249.13727,probe,n,MW,1625384249.064465,67402,p10067402,p10,5
184,41,1625384289.5,1727155.0,1625384289.465482,probe,y,NonMW,1625384289.464483,68617,p10068617,p10,5
185,42,1625384329.4,1767060.0,1625384329.371993,probe,y,NonMW,1625384329.366969,69817,p10069817,p10,5
186,43,1625384369.3,1806965.0,1625384369.259807,probe,y,NonMW,1625384369.270768,71017,p10071017,p10,5
187,44,1625384448.5,1886161.0,1625384448.476332,probe,y,NonMW,1625384448.455392,73398,p10073398,p10,5
188,45,1625384489.5,1927101.0,1625384489.500298,probe,n,MW,1625384489.463363,74631,p10074631,p10,5
189,46,1625384529.1,1966700.0,1625384529.09481,probe,y,NonMW,1625384529.06193,75822,p10075822,p10,5
190,47,1625384568.9,2006685.0,1625384568.900258,probe,y,NonMW,1625384568.870829,77019,p10077019,p10,5
191,48,1625384609.3,2047150.0,1625384609.301478,probe,y,NonMW,1625384609.253603,78233,p10078233,p10,5
192,49,1625384649.8,2087500.0,1625384649.790134,probe,y,NonMW,1625384649.750732,79451,p10079451,p10,5
193,50,1625384689.7,2127367.0,1625384689.670984,probe,y,NonMW,1625384689.654029,80651,p10080651,p10,5
194,51,1625384729.7,2167358.0,1625384729.667679,probe,y,NonMW,1625384729.669674,81854,p10081854,p10,5
195,52,1625384769.5,2207257.0,1625384769.494289,probe,y,NonMW,1625384769.47833,83051,p10083051,p10,5
196,53,1625384809.7,2247432.0,1625384809.66174,probe,y,NonMW,1625384809.653802,84259,p10084259,p10,5
197,54,1625384849.4,2287100.0,1625384849.44719,probe,y,NonMW,1625384849.350449,85453,p10085453,p10,5
198,55,1625384889.6,2327257.0,1625384889.624647,probe,y,NonMW,1625384889.558856,86662,p10086662,p10,5
199,56,1625384929.4,2367068.0,1625384929.379717,probe,y,NonMW,1625384929.365766,87859,p10087859,p10,5
200,57,1625384969.6,2407228.0,1625384969.598218,probe,y,NonMW,1625384969.573264,89068,p10089068,p10,5
201,58,1625385009.2,2446793.0,1625385009.172543,probe,y,NonMW,1625385009.174544,90259,p10090259,p10,5
202,59,1625385048.6,2486324.0,1625385048.584669,probe,y,NonMW,1625385048.58168,91444,p10091444,p10,5
203,60,1625385089.2,2526801.0,1625385089.188054,probe,y,NonMW,1625385089.157136,92664,p10092664,p10,5
204,61,1625385129.3,2567116.0,1625385129.284582,probe,y,NonMW,1625385129.26962,93870,p10093870,p10,5
205,62,1625385169.6,2607190.0,1625385169.572004,probe,y,NonMW,1625385169.573001,95082,p10095082,p10,5
206,63,1625385208.9,2646779.0,1625385208.949556,probe,y,NonMW,1625385208.852816,96263,p10096263,p10,5
207,64,1625385249.1,2686756.0,1625385249.097946,probe,y,NonMW,1625385249.062046,97472,p10097472,p10,5
208,65,1625385289.0,2726691.0,1625385289.014219,probe,y,NonMW,1625385288.965218,98672,p10098672,p10,5
209,66,1625385328.9,2766734.0,1625385328.910792,probe,y,NonMW,1625385328.868938,99872,p10099872,p10,5
210,67,1625385369.0,2806622.0,1625385368.987981,probe,y,NonMW,1625385368.980521,101078,p10101078,p10,5
211,68,1625385409.4,2847054.0,1625385409.437584,probe,y,NonMW,1625385409.380734,102293,p10102293,p10,5
212,69,1625385449.4,2887060.0,1625385449.425236,probe,y,NonMW,1625385449.381337,103496,p10103496,p10,5
213,70,1625385489.1,2926901.0,1625385489.089418,probe,y,NonMW,1625385489.060545,104689,p10104689,p10,5
214,71,1625385528.9,2966622.0,1625385528.884917,probe,y,NonMW,1625385528.869988,105886,p10105886,p10,5
215,72,1625385570.3,3007996.0,1625385570.290628,probe,y,NonMW,1625385570.276663,107131,p10107131,p10,5
216,73,1625385609.4,3047201.0,1625385609.366303,probe,y,NonMW,1625385609.380227,108307,p10108307,p10,5
217,74,1625385648.9,3086646.0,1625385648.850101,probe,n,MW,1625385648.852095,109494,p10109494,p10,5
218,75,1625385689.7,3127457.0,1625385689.713222,probe,y,NonMW,1625385689.65287,110721,p10110721,p10,5
219,76,1625385729.2,3166901.0,1625385729.216266,probe,y,NonMW,1625385729.17233,111909,p10111909,p10,5
220,77,1625385769.2,3207017.0,1625385769.172753,probe,y,NonMW,1625385769.172753,113112,p10113112,p10,5
221,78,1625385809.0,3246620.0,1625385809.038634,probe,y,NonMW,1625385808.980788,114309,p10114309,p10,5
222,79,1625385849.1,3286886.0,1625385849.116231,probe,y,NonMW,1625385849.092284,115515,p10115515,p10,5
223,80,1625385889.2,3326981.0,1625385889.223289,probe,y,NonMW,1625385889.156662,116720,p10116720,p10,5
224,81,1625385929.2,3367022.0,1625385929.230393,probe,y,NonMW,1625385929.17256,117923,p10117923,p10,5
225,82,1625385969.3,3406933.0,1625385969.337992,probe,n,MW,1625385969.270017,119129,p10119129,p10,5
226,83,1625386009.5,3447233.0,1625386009.485718,probe,y,NonMW,1625386009.475737,120338,p10120338,p10,5
227,84,1625386049.3,3486985.0,1625386049.25177,probe,y,NonMW,1625386049.252769,121534,p10121534,p10,5
228,85,1625386089.8,3527548.0,1625386089.771398,probe,y,NonMW,1625386089.764421,122752,p10122752,p10,5
229,0,1625120504.6,46214.0,1625120504.556081,probe,y,NonMW,1625120504.550083,16725,p11016725,p11,1
230,1,1625120544.4,86020.0,1625120544.386998,probe,y,NonMW,1625120544.389997,17925,p11017925,p11,1
231,2,1625120584.8,126434.0,1625120584.822751,probe,y,NonMW,1625120584.788746,19142,p11019142,p11,1
232,3,1625120624.9,166556.0,1625120624.853654,probe,n,MW,1625120624.852646,20349,p11020349,p11,1
233,4,1625120824.2,365964.0,1625120824.151068,probe,y,NonMW,1625120824.183072,26354,p11026354,p11,1
234,5,1625120864.5,406232.0,1625120864.53799,probe,y,NonMW,1625120864.453977,27567,p11027567,p11,1
235,6,1625120944.5,486367.0,1625120944.512998,probe,y,NonMW,1625120944.453995,29977,p11029977,p11,1
236,7,1625121024.3,565920.0,1625121024.279858,probe,y,NonMW,1625121024.260858,32381,p11032381,p11,1
237,8,1625121065.0,606799.0,1625121064.964624,probe,y,NonMW,1625121064.983628,33608,p11033608,p11,1
238,9,1625121104.2,645853.0,1625121104.21836,probe,y,NonMW,1625121104.165036,34788,p11034788,p11,1
239,10,1625121144.5,686156.0,1625121144.518406,probe,y,NonMW,1625121144.454402,36002,p11036002,p11,1
240,11,1625121184.2,725928.0,1625121184.158669,probe,y,NonMW,1625121184.165668,37198,p11037198,p11,1
241,12,1625121224.9,766684.0,1625121224.938709,probe,y,NonMW,1625121224.853182,38424,p11038424,p11,1
242,13,1625121264.4,806229.0,1625121264.395819,probe,y,NonMW,1625121264.357815,39614,p11039614,p11,1
243,14,1625121344.3,885967.0,1625121344.346522,probe,y,NonMW,1625121344.262524,42021,p11042021,p11,1
244,15,1625121384.2,925963.0,1625121384.220589,probe,y,NonMW,1625121384.165602,43223,p11043223,p11,1
245,16,1625121424.5,966200.0,1625121424.519859,probe,y,NonMW,1625121424.470138,44437,p11044437,p11,1
246,17,1625121464.1,1005899.0,1625121464.112386,probe,y,NonMW,1625121464.070384,45630,p11045630,p11,1
247,18,1625121504.4,1046126.0,1625121504.429806,probe,y,NonMW,1625121504.374804,46844,p11046844,p11,1
248,19,1625121544.5,1086067.0,1625121544.451627,probe,y,NonMW,1625121544.469625,48052,p11048052,p11,1
249,20,1625121584.5,1126300.0,1625121584.530331,probe,y,NonMW,1625121584.471324,49257,p11049257,p11,1
250,21,1625121625.0,1166701.0,1625121625.038685,probe,n,MW,1625121624.965701,50477,p11050477,p11,1
